identifier,programme,status,opening,deadline,deadline_model,budget_total_eur,action_type,topic_url
DIGITAL-2026-BESTUSE-MCP-09-INNOV-ADMIN,Digital Europe,open,2026-01-20,2026-05-19,single-stage,6000000,DIGITAL Simple Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2026-BESTUSE-MCP-09-INNOV-ADMIN
PPPA-2026-MEDIA-FREEDOM-HUB,Pilot Projects,open,2026-04-16,2026-05-28,single-stage,3000000,PPPA Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/PPPA-2026-MEDIA-FREEDOM-HUB
HORIZON-MSCA-2026-DN-01-01,Horizon Europe,forthcoming,2026-05-28,2026-11-24,single-stage,1779101538,HORIZON TMA MSCA Doctoral Networks - Joint DoctoratesHORIZON TMA MSCA Doctoral Networks - Industrial DoctoratesHORIZON TMA MSCA Doctoral Networks,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2026-DN-01-01
EDF-2026-DA-ENERENV-AWC-STEP,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,4642000000,EDF Development Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-DA-ENERENV-AWC-STEP
EDF-2026-LS-DA-DIS-OTHR,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,29000000,EDF Lump Sum Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-LS-DA-DIS-OTHR
EDF-2026-DA-GROUND-MBT,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,4642000000,EDF Development Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-DA-GROUND-MBT
EDF-2026-RA-MCBRN-DST,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,770000000,EDF Research Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-RA-MCBRN-DST
ESC-HUMAID-2021-QUAL-LABEL-FP,European Solidarity Corps,open,2021-06-09,2021-09-21,multiple cut-off,,ESC Quality Label,https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/ESC-HUMAID-2021-QUAL-LABEL-FP.json
EDF-2026-DA-MATCOMP-SMT-STEP,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,4642000000,EDF Development Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-DA-MATCOMP-SMT-STEP
HORIZON-EIC-2026-ACCELERATOR-01,Horizon Europe,open,2025-11-06,2026-12-17,,,HORIZON EIC Accelerator,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIC-2026-ACCELERATOR-01
