salto_id,type,title,dates,city,country,deadline_iso,deadline_raw,participants_countries,summary,url
14729,Training Course,Sapounofouska Playful Learning Fest,26-28 June 2026,Athens,Greece,2026-06-08,8 June 2026,"Erasmus+ Youth Programme countries , Other countries in the world , Partner Countries Neighbouring the EU","A 3-day outdoor experience for youth and educators combining STEAM, theatre, music-and-movement play, improv, group activities, nature, picnic, and party, ending each day with a hands-on 5E-based workshop. The working language will be English.",https://www.salto-youth.net/tools/european-training-calendar/training/sapounofouska-playful-learning-fest.14729/
14764,Training Course,"Training course ""Dive into youth participation in Sports sector""",14-17 September 2026,Vierumäki,Finland,2026-06-08,8 June 2026,"Erasmus+ Youth Programme countries , Western Balkan countries","Are you involved in a grassroots sports organisation with a youth department, or in a sports club working with junior athletes? Would you like to give young members a stronger voice and role in your club’s activities and development?",https://www.salto-youth.net/tools/european-training-calendar/training/training-course-dive-into-youth-participation-in-sports-sector.14764/
14900,Training Course,"The city dreams out loud. Public-space performances for hope, imagination and youth empowerment",8-12 July 2026,"Dom Sokolik, Trzcińsko",Poland,2026-06-08,8 June 2026,"Ukraine, Erasmus+ Youth Programme countries , Western Balkan countries","The project uses public-space performance as a non-formal education method to empower young people, strengthen their self-confidence and promote active participation",https://www.salto-youth.net/tools/european-training-calendar/training/the-city-dreams-out-loud-public-space-performances-for-hope-imagination-and-youth-empowerment.14900/
14818,Training Course,Setting Sail for Strategic International Youth Work,5-8 October 2026,Oostend,Belgium - FL,2026-06-08,8 June 2026,"Erasmus+ Youth Programme countries , Partner Countries Neighbouring the EU",Join this 3‑day training and explore how to embed international work strategically in your youth work organisation.,https://www.salto-youth.net/tools/european-training-calendar/training/setting-sail-for-strategic-international-youth-work.14818/
14816,Training Course,Supporting ESC Volunteers through Mentoring (in French language) / Se former au tutorat et à l’accompagnement des volontaires CES,26-31 October 2026,Tangiers,Morocco,2026-06-08,8 June 2026,"Erasmus+ Youth Programme countries , Partner Countries Neighbouring the EU","Are you new to supporting European Solidarity Corps volunteers? Join our training to strengthen your practice: support well-being and integration, navigate challenges, and foster meaningful learning through inclusive, hands-on mentoring approaches.",https://www.salto-youth.net/tools/european-training-calendar/training/supporting-esc-volunteers-through-mentoring-in-french-language-se-former-au-tutorat-et-l-accompagnement-des-volontaires-ces.14816/
14815,Training Course,Adventure Europe VII,10-16 October 2026,Viroinval,Belgium - FR,2026-06-09,9 June 2026,"Erasmus+ Youth Programme countries , Partner Countries Neighbouring the EU","Adventure Europe is a long-term training course for youth and youth care workers interested in adventure and outdoor experiential learning approaches that support the learning, wellbeing, and positive mental health of the young people they work with.",https://www.salto-youth.net/tools/european-training-calendar/training/adventure-europe-vii.14815/
14858,Study Visit,"Sport Without Borders and Barriers: Learn, Exchange and Partner Up in Para Sports",24-27 September 2026,Vienna,Austria,2026-06-09,9 June 2026,"United Kingdom, Erasmus+ Youth Programme countries","This study visit brings together practitioners from programme countries to explore and exchange good practices, tackle challenges, visit Austrian organisations involved in para sports and build lasting intenational partnerships",https://www.salto-youth.net/tools/european-training-calendar/training/sport-without-borders-and-barriers-learn-exchange-and-partner-up-in-para-sports.14858/
14906,Training Course,Participatory EU Enlargement,25-26 June 2026,Kraków,Poland,2026-06-09,9 June 2026,Erasmus+ Youth Programme countries,This activity will be held primarily in the POLISH LANGUAGE. No interpretation will be provided. Training course devoted to the future of European Union enlargement and the role of citizens in the process of European integration.,https://www.salto-youth.net/tools/european-training-calendar/training/participatory-eu-enlargement.14906/
14784,Training Course,"“Shaping the Table"" A Training Course on Youth Participation in Policy Making",6-13 July 2026,Malaga,Spain,2026-06-10,10 June 2026,"Austria, Germany, Italy, Portugal, Spain","Participants will deepen their understanding of participatory youth policy making, explore practical tools for fostering meaningful youth participation in democratic decision-making, and gain the skills to design and facilitate local-level activities.",https://www.salto-youth.net/tools/european-training-calendar/training/shaping-the-table-a-training-course-on-youth-participation-in-policy-making.14784/
14833,Conference – Symposium - Forum,The Symposium “Recognising Youth Volunteering: From Experience to Impact”,3-5 November 2026,Dublin,Ireland,2026-06-10,10 June 2026,"Erasmus+ Youth Programme countries , Partner Countries Neighbouring the EU","Within 30 years of EU-funded youth volunteering a strong and positive impact has been created. While much has grown and improved, there is still untapped potential, especially in how we recognise and value volunteering.",https://www.salto-youth.net/tools/european-training-calendar/training/the-symposium-recognising-youth-volunteering-from-experience-to-impact.14833/
14894,E-learning,"SoliDARE Meet-up #3:From My idea to our idea: Creating group wisdom in ESC Programmes, 11th of June, 14:30 - 16:00 CET",11 June 2026,Zoom,Austria,2026-06-10,10 June 2026,"Erasmus+ Youth Programme countries , Other countries in the world , Partner Countries Neighbouring the EU",This meet-up will explore the concept of creating groups wisdom in European Solidarity Corps actions.,https://www.salto-youth.net/tools/european-training-calendar/training/solidare-meet-up-3-from-my-idea-to-our-idea-creating-group-wisdom-in-esc-programmes-11th-of-june-14-30-16-00-cet.14894/
14903,Training Course,Re-enchantment of the Natural World,26 July - 8 August 2026,São Luis,Portugal,2026-06-10,10 June 2026,"Netherlands, Portugal, Spain","An invitation to slow down and listen again — to land, body, water, food, stories, limits, and each other.",https://www.salto-youth.net/tools/european-training-calendar/training/re-enchantment-of-the-natural-world.14903/
14939,Partnership-building Activity,From Territories to Europe: Building Synergies for Transnational Cooperation - PBA,6-10 July 2026,Inatel Luso,Portugal,2026-06-12,12 June 2026,Erasmus+ Youth Programme countries,"PBA on transnational cooperation for professionals and organisations in territorial development, European cooperation and social innovation. Focused on partnership building, project design, regional exchange, Interreg and other European programmes.",https://www.salto-youth.net/tools/european-training-calendar/training/from-territories-to-europe-building-synergies-for-transnational-cooperation-pba.14939/
14853,Training Course,E+qualizer: from Equality to Equity,13-22 July 2026,Pińczów,Poland,2026-06-13,13 June 2026,"Croatia, Cyprus, Italy, Poland, Portugal, Romania","The project focuses on promoting equality, combating discrimination and stereotypes, and equipping participants with practical tools and methods to create more inclusive communities.",https://www.salto-youth.net/tools/european-training-calendar/training/e-qualizer-from-equality-to-equity.14853/
14875,Training Course,Becoming a EuroPeer : international introductory training course,22-28 September 2026,Liepaja,Latvia,2026-06-14,14 June 2026,"Austria, Belgium - DE, Denmark, Estonia, Finland, France, Germany, Latvia, Netherlands, Norway, Poland, Romania, Spain, Sweden",A training course for young people who took part in European Solidarity Corps / Erasmus+ Youth projects and want to share their European experiences with their peers. The first step to join the EuroPeers network.,https://www.salto-youth.net/tools/european-training-calendar/training/becoming-a-europeer-international-introductory-training-course.14875/
14908,Training Course,Resilience for Аctivists,7-14 July 2026,Emen / V.Tarnovo,Bulgaria,2026-06-14,14 June 2026,"Eastern Partnership countries , Erasmus+ Youth Programme countries , Southern Mediterranean countries , Western Balkan countries",The training “Resilience for Аctivists” will be focusing on practical tools and techniques for resilience in activism and volunteering. It will take place in Emen/ Bulgaria between 7th -14th July 2026.,https://www.salto-youth.net/tools/european-training-calendar/training/resilience-for-activists.14908/
14912,Partnership-building Activity,PartnershipLab,1-7 September 2026,Kolín,Czech Republic,2026-06-14,14 June 2026,Erasmus+ Youth Programme countries,“PartnershipLab” is an Erasmus+ Partnership-building Activity created to facilitate networking and share innovative educational tools among youth workers and representatives of educational youth NGOs in Europe working with the Erasmus+ Programme.,https://www.salto-youth.net/tools/european-training-calendar/training/partnershiplab.14912/
14709,Seminar,Erasmus4Democracy ProjectLab,31 August - 5 September 2026,Sofia,Bulgaria,2026-06-15,15 June 2026,"Armenia, Morocco, Tunisia, Ukraine, Erasmus+ Youth Programme countries",Are you working to improve municipal youth participation and local democracy? Do you want to find other municipal partners to design Erasmus+ projects for developing youth participation in municipal decisions?,https://www.salto-youth.net/tools/european-training-calendar/training/erasmus4democracy-projectlab.14709/
14828,Training Course,Climate Matters!,15-20 August 2026,Trebnitz (near Berlin),Germany,2026-06-15,15 June 2026,"Austria, Belgium - DE, Belgium - FL, Belgium - FR, Czech Republic, Denmark, France, Germany, Hungary, Italy, Liechtenstein, Lithuania, Luxembourg, Netherlands, Poland, Romania, Slovak Republic, Slovenia, Spain, Sweden","The training brings together NGOs, trainers and youth workers to address how to discuss climate issues despite polarisation and how to create educational spaces for young people that facilitate exchange, provide guidance, and state: Climate Matters!",https://www.salto-youth.net/tools/european-training-calendar/training/climate-matters.14828/
14801,Training Course,Rooted in Collective Hope - shaping a future we belong to,6-13 September 2026,Etyek,Hungary,2026-06-15,15 June 2026,Erasmus+ Youth Programme countries,"Supporting youth workers with methods to create safe spaces, cultivate hope, and encourage meaningful participation in times of social and environmental uncertainty.",https://www.salto-youth.net/tools/european-training-calendar/training/rooted-in-collective-hope-shaping-a-future-we-belong-to.14801/
14891,Training Course,Cycle up: Methodologies and tools for quality Project Management and Human Rights Education,17-24 August 2026,Guriezo,Spain,2026-06-15,15 June 2026,"Erasmus+ Youth Programme countries , Other countries in the world , Partner Countries Neighbouring the EU",Training of trainers on methodologies and tools for quality Project Management and Human Rights Education,https://www.salto-youth.net/tools/european-training-calendar/training/cycle-up-methodologies-and-tools-for-quality-project-management-and-human-rights-education.14891/
14892,Training Course,Art It Up! Artistic Tools for Human Rights Advocacy & Participation in the context of youth work,24 August - 1 September 2026,Guriezo,Spain,2026-06-15,15 June 2026,"Erasmus+ Youth Programme countries , Other countries in the world , Partner Countries Neighbouring the EU",Training course on artistic Tools for Human Rights Advocacy & Participation in the context of youth work,https://www.salto-youth.net/tools/european-training-calendar/training/art-it-up-artistic-tools-for-human-rights-advocacy-participation-in-the-context-of-youth-work.14892/
14907,Training Course,Training Course NGO’s Sustainability 2.0,14-20 September 2026,Lisboa,Portugal,2026-06-15,15 June 2026,Erasmus+ Youth Programme countries,"Spin is an accredited Erasmus+ KA1 organisation and we are currently preparing a Training Course entitled NGO’s Sustainability 2.0, which will take place in Lisbon, from 14th to 20th September 2026.",https://www.salto-youth.net/tools/european-training-calendar/training/training-course-ngo-s-sustainability-2-0.14907/
14944,E-learning,Build Your Life Project: BeyondWheels International Online Workshop,18-19 June 2026,Online,Italy,2026-06-15,15 June 2026,"Italy, Portugal, Republic of North Macedonia, Romania, Slovak Republic, Slovenia, Spain, Southern Mediterranean countries , Western Balkan countries","A free international online workshop introducing the BeyondWheels method: a person-centred approach to support adults with mobility disabilities in life planning, employability, self-reflection and autonomy.",https://www.salto-youth.net/tools/european-training-calendar/training/build-your-life-project-beyondwheels-international-online-workshop.14944/
14926,Seminar,"Experts' and practitioners' seminar - MEDIA & DIGITAL LITERACY : enhancing youth workers skills, knowledge and attitudes to improve youth's critical thinking",14-18 September 2026,Paris,France,2026-06-16,16 June 2026,"Eastern Partnership countries , Erasmus+ Youth Programme countries , Southern Mediterranean countries , Western Balkan countries",What measures youth workers take to support media/ digital literacy leading into stronger civic engagement ? The seminar will foster exchanges of tools and approaches emerging from youth work and assess their transferability.,https://www.salto-youth.net/tools/european-training-calendar/training/experts-and-practitioners-seminar-media-digital-literacy-enhancing-youth-workers-skills-knowledge-and-attitudes-to-improve-youth-s-critical-thinking.14926/
14948,Partnership-building Activity,Building Bridges for Gender- based Violence Prevention in Youth,10-16 August 2026,"Porto Resort, Lilaste",Latvia,2026-06-17,17 June 2026,Erasmus+ Youth Programme countries,"Join organisations from across Europe working on gender-based violence prevention in youth. Share practices, build partnerships, and develop future Erasmus+ cooperation in gender equality and helathy relationships education.",https://www.salto-youth.net/tools/european-training-calendar/training/building-bridges-for-gender-based-violence-prevention-in-youth.14948/
14781,Training Course,RESPROUT OUR ROOTS : More-than-human and Imagination,5-16 October 2026,Piegros-la-Clastre,France,2026-06-18,18 June 2026,Erasmus+ Youth Programme countries,"This TC will be a laboratory where we will examine our relationship with what is often called “nature” and explore the possibility of resprouting our roots thanks to imagination, reflection, non-formal tools, research on rituals, and artistic practices.",https://www.salto-youth.net/tools/european-training-calendar/training/resprout-our-roots-more-than-human-and-imagination.14781/
14897,Training Course,When Should We Feel Discriminated/When Are We Discriminated?,3-11 August 2026,Bicăcel,Romania,2026-06-19,19 June 2026,Erasmus+ Youth Programme countries,"The Erasmus+ mobility project “When Should We Feel Discriminated / When Are We Discriminated?” is a training course designed for youth workers, educators, facilitators, and NGO representatives who work with young people from diverse backgrounds.",https://www.salto-youth.net/tools/european-training-calendar/training/when-should-we-feel-discriminated-when-are-we-discriminated.14897/
14879,Training Course,Acting on reality: Theatre methods in youth work,17-20 August 2026,Oldenburg,Germany,2026-06-19,19 June 2026,Erasmus+ Youth Programme countries,"A training course for youth workers, educators and facilitators on using theatre methods and Theatre of the Oppressed in youth work to explore social issues, support participation, and create meaningful learning experiences through creative expression.",https://www.salto-youth.net/tools/european-training-calendar/training/acting-on-reality-theatre-methods-in-youth-work.14879/
